topology,phase,version,host,step,value,unit
same,setup,before,103,docker_pid_lookup,79.35910327699867,mean step latency ms per endpoint
same,setup,before,104,docker_pid_lookup,79.35041706499806,mean step latency ms per endpoint
same,setup,after,103,docker_pid_lookup,0.0,mean step latency ms per endpoint
same,setup,after,104,docker_pid_lookup,0.0,mean step latency ms per endpoint
same,setup,before,103,endpoint_veth,0.8390721680020761,mean step latency ms per endpoint
same,setup,before,104,endpoint_veth,0.8323602050008958,mean step latency ms per endpoint
same,setup,after,103,endpoint_veth,2.41394401702928,mean step latency ms per endpoint
same,setup,after,104,endpoint_veth,2.433605128973795,mean step latency ms per endpoint
same,setup,before,103,namespace_address,72.90417988399122,mean step latency ms per endpoint
same,setup,before,104,namespace_address,72.84608978999495,mean step latency ms per endpoint
same,setup,after,103,namespace_address,0.0,mean step latency ms per endpoint
same,setup,after,104,namespace_address,0.0,mean step latency ms per endpoint
same,setup,before,103,endpoint_namespace,2.2051923749891102,mean step latency ms per endpoint
same,setup,before,104,endpoint_namespace,2.239983410003788,mean step latency ms per endpoint
same,setup,after,103,endpoint_namespace,4.67265723899618,mean step latency ms per endpoint
same,setup,after,104,endpoint_namespace,4.725107001024298,mean step latency ms per endpoint
same,setup,before,103,bridge_attach,0.966015228996639,mean step latency ms per endpoint
same,setup,before,104,bridge_attach,0.9791929239954698,mean step latency ms per endpoint
same,setup,after,103,bridge_attach,6.6957831980089395,mean step latency ms per endpoint
same,setup,after,104,bridge_attach,6.653195787990626,mean step latency ms per endpoint
same,setup,before,103,stale_cross_host_cleanup,71.57157450299837,mean step latency ms per endpoint
same,setup,before,104,stale_cross_host_cleanup,72.53521203899982,mean step latency ms per endpoint
same,setup,after,103,stale_cross_host_cleanup,0.0,mean step latency ms per endpoint
same,setup,after,104,stale_cross_host_cleanup,0.0,mean step latency ms per endpoint
same,setup,before,103,transport_veth,0.6485146170016378,mean step latency ms per endpoint
same,setup,before,104,transport_veth,0.6400952219978535,mean step latency ms per endpoint
same,setup,after,103,transport_veth,4.323953339026048,mean step latency ms per endpoint
same,setup,after,104,transport_veth,4.373588971015124,mean step latency ms per endpoint
